# ###########
# [default parameters]
#   dict([('NL', '40'), ('NR', '2'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '5.'), ('lambdaL', '0.05'), ('lambdaR', '0.'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '5.'), ('TelR', '5.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   dict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'nOscL', 'nOscR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta_L', 'eta_R', 'commL', 'commR']
# ###########
# 
2.137200e+00 4.962078e-06 4.962078e-06 5.813388e-01 2.689414e-01 -1.571968e-07 9.891201e-13 8.312787e-08 7.406791e-08 -6.335925e-03 3.986717e-08 1.000000e+00 4.621172e-01
2.138600e+00 4.956552e-06 4.956552e-06 5.813324e-01 2.689414e-01 -1.587901e-07 1.002633e-12 8.395613e-08 7.483301e-08 -6.407282e-03 4.045687e-08 1.000000e+00 4.621172e-01
2.140000e+00 4.951041e-06 4.951041e-06 5.813259e-01 2.689414e-01 -1.604087e-07 7.823288e-13 8.479738e-08 7.561049e-08 -6.479795e-03 3.160260e-08 1.000000e+00 4.621172e-01
2.141400e+00 4.945544e-06 4.945544e-06 5.813192e-01 2.689414e-01 -1.620526e-07 1.117567e-13 8.565191e-08 7.640061e-08 -6.553480e-03 4.519488e-09 1.000000e+00 4.621172e-01
2.142800e+00 4.940063e-06 4.940063e-06 5.813125e-01 2.689414e-01 -1.637237e-07 4.664867e-14 8.652001e-08 7.720364e-08 -6.628405e-03 1.888586e-09 1.000000e+00 4.621172e-01
2.144200e+00 4.934596e-06 4.934596e-06 5.813056e-01 2.689414e-01 -1.654221e-07 2.479054e-13 8.740196e-08 7.801987e-08 -6.704584e-03 1.004765e-08 1.000000e+00 4.621172e-01
2.145600e+00 4.929144e-06 4.929144e-06 5.812987e-01 2.689414e-01 -1.671478e-07 1.941133e-13 8.829807e-08 7.884958e-08 -6.782023e-03 7.876147e-09 1.000000e+00 4.621172e-01
2.147000e+00 4.923708e-06 4.923708e-06 5.812916e-01 2.689414e-01 -1.689020e-07 2.165576e-13 8.920865e-08 7.969309e-08 -6.860763e-03 8.796525e-09 1.000000e+00 4.621172e-01
2.148400e+00 4.918287e-06 4.918287e-06 5.812844e-01 2.689414e-01 -1.706853e-07 5.410379e-13 9.013403e-08 8.055068e-08 -6.940842e-03 2.200107e-08 1.000000e+00 4.621172e-01
2.149800e+00 4.912881e-06 4.912881e-06 5.812770e-01 2.689414e-01 -1.724989e-07 1.655435e-12 9.107451e-08 8.142269e-08 -7.022311e-03 6.739161e-08 1.000000e+00 4.621172e-01
2.151200e+00 4.907490e-06 4.907490e-06 5.812696e-01 2.689414e-01 -1.743399e-07 2.400676e-14 9.203046e-08 8.230944e-08 -7.105055e-03 9.783725e-10 1.000000e+00 4.621172e-01
